Name,Gen,HP,Attack,Defense,Sp_attack,Sp_defense,Speed
Mewtwo,6,106,110,90,154,90,130
Mewtwo-Mega-X,6,106,190,100,154,100,130
Mewtwo-Mega-Y,6,106,150,70,194,120,140
Mew,6,100,100,100,100,100,100
Chikorita,6,45,49,65,49,65,45
Bayleef,6,60,62,80,63,80,60
Meganium,6,80,82,100,83,100,80
Cyndaquil,6,39,52,43,60,50,65
Quilava,6,58,64,58,80,65,80
Typhlosion,6,78,84,78,109,85,100
Totodile,6,50,65,64,44,48,43
Croconaw,6,65,80,80,59,63,58
Feraligatr,6,85,105,100,79,83,78
Sentret,6,35,46,34,35,45,20
Furret,6,85,76,64,45,55,90
Hoothoot,6,60,30,30,36,56,50
Noctowl,6,100,50,50,76,96,70
Ledyba,6,40,20,30,40,80,55
Ledian,6,55,35,50,55,110,85
Spinarak,6,40,60,40,40,40,30
Ariados,6,70,90,70,60,60,40
Crobat,6,85,90,80,70,80,130
Chinchou,6,75,38,38,56,56,67
Lanturn,6,125,58,58,76,76,67
Pichu,6,20,40,15,35,35,60
Cleffa,6,50,25,28,45,55,15
Igglybuff,6,90,30,15,40,20,15
Togepi,6,35,20,65,40,65,20
Togetic,6,55,40,85,80,105,40
Natu,6,40,50,45,70,45,70
Xatu,6,65,75,70,95,70,95
Mareep,6,55,40,40,65,45,35
Flaaffy,6,70,55,55,80,60,45
Ampharos,6,90,75,85,115,90,55
Ampharos-Mega,6,90,95,105,165,110,45
Bellossom,6,75,80,95,90,100,50
Marill,6,70,20,50,20,50,40
Azumarill,6,100,50,80,60,80,50
Sudowoodo,6,70,100,115,30,65,30
Politoed,6,90,75,75,90,100,70
Hoppip,6,35,35,40,35,55,50
Skiploom,6,55,45,50,45,65,80
Jumpluff,6,75,55,70,55,95,110
Aipom,6,55,70,55,40,55,85
Sunkern,6,30,30,30,30,30,30
Sunflora,6,75,75,55,105,85,30
Yanma,6,65,65,45,75,45,95
Wooper,6,55,45,45,25,25,15
Quagsire,6,95,85,85,65,65,35
Espeon,6,65,65,60,130,95,110
Umbreon,6,95,65,110,60,130,65
Murkrow,6,60,85,42,85,42,91
Slowking,6,95,75,80,100,110,30
Misdreavus,6,60,60,60,85,85,85
Unown,6,48,72,48,72,48,48
Wobbuffet,6,190,33,58,33,58,33
Girafarig,6,70,80,65,90,65,85
Pineco,6,50,65,90,35,35,15
Forretress,6,75,90,140,60,60,40
Dunsparce,6,100,70,70,65,65,45
Gligar,6,65,75,105,35,65,85
Steelix,6,75,85,200,55,65,30
Steelix-Mega,6,75,125,230,55,95,30
Snubbull,6,60,80,50,40,40,30
Granbull,6,90,120,75,60,60,45
Qwilfish,6,65,95,75,55,55,85
Scizor,6,70,130,100,55,80,65
Scizor-Mega,6,70,150,140,65,100,75
Shuckle,6,20,10,230,10,230,5
Heracross,6,80,125,75,40,95,85
Heracross-Mega,6,80,185,115,40,105,75
Sneasel,6,55,95,55,35,75,115
Teddiursa,6,60,80,50,50,50,40
Ursaring,6,90,130,75,75,75,55
Slugma,6,40,40,40,70,40,20
Magcargo,6,50,50,120,80,80,30
Swinub,6,50,50,40,30,30,50
Piloswine,6,100,100,80,60,60,50
Corsola,6,55,55,85,65,85,35
Remoraid,6,35,65,35,65,35,65
Octillery,6,75,105,75,105,75,45
Delibird,6,45,55,45,65,45,75
Mantine,6,65,40,70,80,140,70
Skarmory,6,65,80,140,40,70,70
Houndour,6,45,60,30,80,50,65
Houndoom,6,75,90,50,110,80,95
Houndoom-Mega,6,75,90,90,140,90,115
Kingdra,6,75,95,95,95,95,85
Phanpy,6,90,60,60,40,40,40
Donphan,6,90,120,120,60,60,50
Porygon2,6,85,80,90,105,95,60
Stantler,6,73,95,62,85,65,85
Smeargle,6,55,20,35,20,45,75
Tyrogue,6,35,35,35,35,35,35
Hitmontop,6,50,95,95,35,110,70
Smoochum,6,45,30,15,85,65,65
Elekid,6,45,63,37,65,55,95
Magby,6,45,75,37,70,55,83
Miltank,6,95,80,105,40,70,100
Blissey,6,255,10,10,75,135,55
Raikou,6,90,85,75,115,100,115
Entei,6,115,115,85,90,75,100
Suicune,6,100,75,115,90,115,85
Larvitar,6,50,64,50,45,50,41
Pupitar,6,70,84,70,65,70,51
Tyranitar,6,100,134,110,95,100,61
Tyranitar-Mega,6,100,164,150,95,120,71
Lugia,6,106,90,130,90,154,110
Ho-Oh,6,106,130,90,110,154,90
Celebi,6,100,100,100,100,100,100
Treecko,6,40,45,35,65,55,70
Grovyle,6,50,65,45,85,65,95
Sceptile,6,70,85,65,105,85,120
Sceptile-Mega,6,70,110,75,145,85,145
Torchic,6,45,60,40,70,50,45
Combusken,6,60,85,60,85,60,55
Blaziken,6,80,120,70,110,70,80
Blaziken-Mega,6,80,160,80,130,80,100
Mudkip,6,50,70,50,50,50,40
Marshtomp,6,70,85,70,60,70,50
Swampert,6,100,110,90,85,90,60
Swampert-Mega,6,100,150,110,95,110,70
Poochyena,6,35,55,35,30,30,35
Mightyena,6,70,90,70,60,60,70
Zigzagoon,6,38,30,41,30,41,60
Linoone,6,78,70,61,50,61,100
Wurmple,6,45,45,35,20,30,20
Silcoon,6,50,35,55,25,25,15
Beautifly,6,60,70,50,100,50,65
Cascoon,6,50,35,55,25,25,15
Dustox,6,60,50,70,50,90,65
Lotad,6,40,30,30,40,50,30
Lombre,6,60,50,50,60,70,50
Ludicolo,6,80,70,70,90,100,70
Seedot,6,40,40,50,30,30,30
Nuzleaf,6,70,70,40,60,40,60
Shiftry,6,90,100,60,90,60,80
Taillow,6,40,55,30,30,30,85
Swellow,6,60,85,60,50,50,125
Wingull,6,40,30,30,55,30,85
Pelipper,6,60,50,100,85,70,65
Ralts,6,28,25,25,45,35,40
Kirlia,6,38,35,35,65,55,50
Gardevoir,6,68,65,65,125,115,80
Gardevoir-Mega,6,68,85,65,165,135,100
Surskit,6,40,30,32,50,52,65
Masquerain,6,70,60,62,80,82,60
Shroomish,6,60,40,60,40,60,35
Breloom,6,60,130,80,60,60,70
Slakoth,6,60,60,60,35,35,30
Vigoroth,6,80,80,80,55,55,90
Slaking,6,150,160,100,95,65,100
Nincada,6,31,45,90,30,30,40
Ninjask,6,61,90,45,50,50,160
Shedinja,6,1,90,45,30,30,40
Whismur,6,64,51,23,51,23,28
Loudred,6,84,71,43,71,43,48
Exploud,6,104,91,63,91,73,68
Makuhita,6,72,60,30,20,30,25
Hariyama,6,144,120,60,40,60,50
Azurill,6,50,20,40,20,40,20
Nosepass,6,30,45,135,45,90,30
Skitty,6,50,45,45,35,35,50
Delcatty,6,70,65,65,55,55,70
Sableye,6,50,75,75,65,65,50
Sableye-Mega,6,50,85,125,85,115,20
Mawile,6,50,85,85,55,55,50
Mawile-Mega,6,50,105,125,55,95,50
Aron,6,50,70,100,40,40,30
Lairon,6,60,90,140,50,50,40
Aggron,6,70,110,180,60,60,50
Aggron-Mega,6,70,140,230,60,80,50
Meditite,6,30,40,55,40,55,60
Medicham,6,60,60,75,60,75,80
Medicham-Mega,6,60,100,85,80,85,100
Electrike,6,40,45,40,65,40,65
Manectric,6,70,75,60,105,60,105
Manectric-Mega,6,70,75,80,135,80,135
Plusle,6,60,50,40,85,75,95
Minun,6,60,40,50,75,85,95
Volbeat,6,65,73,55,47,75,85
Illumise,6,65,47,55,73,75,85
Roselia,6,50,60,45,100,80,65
Gulpin,6,70,43,53,43,53,40
Swalot,6,100,73,83,73,83,55
Carvanha,6,45,90,20,65,20,65
Sharpedo,6,70,120,40,95,40,95
Sharpedo-Mega,6,70,140,70,110,65,105
Wailmer,6,130,70,35,70,35,60
Wailord,6,170,90,45,90,45,60
Numel,6,60,60,40,65,45,35
Camerupt,6,70,100,70,105,75,40
Camerupt-Mega,6,70,120,100,145,105,20
Torkoal,6,70,85,140,85,70,20
Spoink,6,60,25,35,70,80,60
Grumpig,6,80,45,65,90,110,80
Spinda,6,60,60,60,60,60,60
Trapinch,6,45,100,45,45,45,10
Vibrava,6,50,70,50,50,50,70
Flygon,6,80,100,80,80,80,100
Cacnea,6,50,85,40,85,40,35
Cacturne,6,70,115,60,115,60,55
Swablu,6,45,40,60,40,75,50
Altaria,6,75,70,90,70,105,80
Altaria-Mega,6,75,110,110,110,105,80
Zangoose,6,73,115,60,60,60,90
Seviper,6,73,100,60,100,60,65
Lunatone,6,70,55,65,95,85,70
Solrock,6,70,95,85,55,65,70
Barboach,6,50,48,43,46,41,60
Whiscash,6,110,78,73,76,71,60
Corphish,6,43,80,65,50,35,35
Crawdaunt,6,63,120,85,90,55,55
Baltoy,6,40,40,55,40,70,55
Claydol,6,60,70,105,70,120,75
Lileep,6,66,41,77,61,87,23
Cradily,6,86,81,97,81,107,43
Anorith,6,45,95,50,40,50,75
Armaldo,6,75,125,100,70,80,45
Feebas,6,20,15,20,10,55,80
Milotic,6,95,60,79,100,125,81
Castform,6,70,70,70,70,70,70
Kecleon,6,60,90,70,60,120,40
Shuppet,6,44,75,35,63,33,45
Banette,6,64,115,65,83,63,65
Banette-Mega,6,64,165,75,93,83,75
Duskull,6,20,40,90,30,90,25
Dusclops,6,40,70,130,60,130,25
Tropius,6,99,68,83,72,87,51
Chimecho,6,65,50,70,95,80,65
Absol,6,65,130,60,75,60,75
Absol-Mega,6,65,150,60,115,60,115
Wynaut,6,95,23,48,23,48,23
Snorunt,6,50,50,50,50,50,50
Glalie,6,80,80,80,80,80,80
Glalie-Mega,6,80,120,80,120,80,100
Spheal,6,70,40,50,55,50,25
Sealeo,6,90,60,70,75,70,45
Walrein,6,110,80,90,95,90,65
Clamperl,6,35,64,85,74,55,32
Huntail,6,55,104,105,94,75,52
Gorebyss,6,55,84,105,114,75,52
Relicanth,6,100,90,130,45,65,55
Luvdisc,6,43,30,55,40,65,97
Bagon,6,45,75,60,40,30,50
Shelgon,6,65,95,100,60,50,50
Salamence,6,95,135,80,110,80,100
Salamence-Mega,6,95,145,130,120,90,120
Beldum,6,40,55,80,35,60,30
Metang,6,60,75,100,55,80,50
Metagross,6,80,135,130,95,90,70
Metagross-Mega,6,80,145,150,105,110,110
Regirock,6,80,100,200,50,100,50
Regice,6,80,50,100,100,200,50
Registeel,6,80,75,150,75,150,50
Latias,6,80,80,90,110,130,110
Latias-Mega,6,80,100,120,140,150,110
Latios,6,80,90,80,130,110,110
Latios-Mega,6,80,130,100,160,120,110
Kyogre,6,100,100,90,150,140,90
Kyogre-Primal,6,100,150,90,180,160,90
Groudon,6,100,150,140,100,90,90
Groudon-Primal,6,100,180,160,150,90,90
Rayquaza,6,105,150,90,150,90,95
Rayquaza-Mega,6,105,180,100,180,100,115
Jirachi,6,100,100,100,100,100,100
Deoxys,6,50,150,50,150,50,150
Deoxys-Attack,6,50,180,20,180,20,150
Deoxys-Defense,6,50,70,160,70,160,90
Deoxys-Speed,6,50,95,90,95,90,180
Turtwig,6,55,68,64,45,55,31
Grotle,6,75,89,85,55,65,36
Torterra,6,95,109,105,75,85,56
Chimchar,6,44,58,44,58,44,61
Monferno,6,64,78,52,78,52,81
Infernape,6,76,104,71,104,71,108
Piplup,6,53,51,53,61,56,40
Prinplup,6,64,66,68,81,76,50
Empoleon,6,84,86,88,111,101,60
Starly,6,40,55,30,30,30,60
Staravia,6,55,75,50,40,40,80
Staraptor,6,85,120,70,50,60,100
Bidoof,6,59,45,40,35,40,31
Bibarel,6,79,85,60,55,60,71
Kricketot,6,37,25,41,25,41,25
Kricketune,6,77,85,51,55,51,65
Shinx,6,45,65,34,40,34,45
Luxio,6,60,85,49,60,49,60
Luxray,6,80,120,79,95,79,70
Budew,6,40,30,35,50,70,55
Roserade,6,60,70,65,125,105,90
Cranidos,6,67,125,40,30,30,58
Rampardos,6,97,165,60,65,50,58
Shieldon,6,30,42,118,42,88,30
Bastiodon,6,60,52,168,47,138,30
Burmy,6,40,29,45,29,45,36
Wormadam,6,60,59,85,79,105,36
Wormadam-Sandy,6,60,79,105,59,85,36
Wormadam-Trash,6,60,69,95,69,95,36
Mothim,6,70,94,50,94,50,66
Combee,6,30,30,42,30,42,70
Vespiquen,6,70,80,102,80,102,40
Pachirisu,6,60,45,70,45,90,95
Buizel,6,55,65,35,60,30,85
Floatzel,6,85,105,55,85,50,115
Cherubi,6,45,35,45,62,53,35
Cherrim,6,70,60,70,87,78,85
Shellos,6,76,48,48,57,62,34
Gastrodon,6,111,83,68,92,82,39
Ambipom,6,75,100,66,60,66,115
Drifloon,6,90,50,34,60,44,70
Drifblim,6,150,80,44,90,54,80
Buneary,6,55,66,44,44,56,85
Lopunny,6,65,76,84,54,96,105
Lopunny-Mega,6,65,136,94,54,96,135
Mismagius,6,60,60,60,105,105,105
Honchkrow,6,100,125,52,105,52,71
Glameow,6,49,55,42,42,37,85
Purugly,6,71,82,64,64,59,112
Chingling,6,45,30,50,65,50,45
Stunky,6,63,63,47,41,41,74
Skuntank,6,103,93,67,71,61,84
Bronzor,6,57,24,86,24,86,23
Bronzong,6,67,89,116,79,116,33
Bonsly,6,50,80,95,10,45,10
Mime Jr.,6,20,25,45,70,90,60
Happiny,6,100,5,5,15,65,30
Chatot,6,76,65,45,92,42,91
Spiritomb,6,50,92,108,92,108,35
Gible,6,58,70,45,40,45,42
Gabite,6,68,90,65,50,55,82
Garchomp,6,108,130,95,80,85,102
Garchomp-Mega,6,108,170,115,120,95,92
Munchlax,6,135,85,40,40,85,5
Riolu,6,40,70,40,35,40,60
Lucario,6,70,110,70,115,70,90
Lucario-Mega,6,70,145,88,140,70,112
Hippopotas,6,68,72,78,38,42,32
Hippowdon,6,108,112,118,68,72,47
Skorupi,6,40,50,90,30,55,65
Drapion,6,70,90,110,60,75,95
Croagunk,6,48,61,40,61,40,50
Toxicroak,6,83,106,65,86,65,85
Carnivine,6,74,100,72,90,72,46
Finneon,6,49,49,56,49,61,66
Lumineon,6,69,69,76,69,86,91
Mantyke,6,45,20,50,60,120,50
Snover,6,60,62,50,62,60,40
Abomasnow,6,90,92,75,92,85,60
Abomasnow-Mega,6,90,132,105,132,105,30
Weavile,6,70,120,65,45,85,125
Magnezone,6,70,70,115,130,90,60
Lickilicky,6,110,85,95,80,95,50
Rhyperior,6,115,140,130,55,55,40
Tangrowth,6,100,100,125,110,50,50
Electivire,6,75,123,67,95,85,95
Magmortar,6,75,95,67,125,95,83
Togekiss,6,85,50,95,120,115,80
Yanmega,6,86,76,86,116,56,95
Leafeon,6,65,110,130,60,65,95
Glaceon,6,65,60,110,130,95,65
Gliscor,6,75,95,125,45,75,95
Mamoswine,6,110,130,80,70,60,80
Porygon-Z,6,85,80,70,135,75,90
Gallade,6,68,125,65,65,115,80
Gallade-Mega,6,68,165,95,65,115,110
Probopass,6,60,55,145,75,150,40
Dusknoir,6,45,100,135,65,135,45
Froslass,6,70,80,70,80,70,110
Rotom,6,50,50,77,95,77,91
Rotom-Heat,6,50,65,107,105,107,86
Rotom-Wash,6,50,65,107,105,107,86
Rotom-Frost,6,50,65,107,105,107,86
Rotom-Fan,6,50,65,107,105,107,86
Rotom-Mow,6,50,65,107,105,107,86
Uxie,6,75,75,130,75,130,95
Mesprit,6,80,105,105,105,105,80
Azelf,6,75,125,70,125,70,115
Dialga,6,100,120,120,150,100,90
Palkia,6,90,120,100,150,120,100
Heatran,6,91,90,106,130,106,77
Regigigas,6,110,160,110,80,110,100
Giratina,6,150,100,120,100,120,90
Giratina-Origin,6,150,120,100,120,100,90
Cresselia,6,120,70,120,75,130,85
Phione,6,80,80,80,80,80,80
Manaphy,6,100,100,100,100,100,100
Darkrai,6,70,90,90,135,90,125
Shaymin,6,100,100,100,100,100,100
Shaymin-Sky,6,100,103,75,120,75,127
Arceus,6,120,120,120,120,120,120
Arceus-Bug,6,120,120,120,120,120,120
Arceus-Dark,6,120,120,120,120,120,120
Arceus-Dragon,6,120,120,120,120,120,120
Arceus-Electric,6,120,120,120,120,120,120
Arceus-Fairy,6,120,120,120,120,120,120
Arceus-Fighting,6,120,120,120,120,120,120
Arceus-Fire,6,120,120,120,120,120,120
Arceus-Flying,6,120,120,120,120,120,120
Arceus-Ghost,6,120,120,120,120,120,120
Arceus-Grass,6,120,120,120,120,120,120
Arceus-Ground,6,120,120,120,120,120,120
Arceus-Ice,6,120,120,120,120,120,120
Arceus-Poison,6,120,120,120,120,120,120
Arceus-Psychic,6,120,120,120,120,120,120
Arceus-Rock,6,120,120,120,120,120,120
Arceus-Steel,6,120,120,120,120,120,120
Arceus-Water,6,120,120,120,120,120,120
Victini,6,100,100,100,100,100,100
Snivy,6,45,45,55,45,55,63
Servine,6,60,60,75,60,75,83
Serperior,6,75,75,95,75,95,113
Tepig,6,65,63,45,45,45,45
Pignite,6,90,93,55,70,55,55
Emboar,6,110,123,65,100,65,65
Oshawott,6,55,55,45,63,45,45
Dewott,6,75,75,60,83,60,60
Samurott,6,95,100,85,108,70,70
Patrat,6,45,55,39,35,39,42
Watchog,6,60,85,69,60,69,77
Lillipup,6,45,60,45,25,45,55
Herdier,6,65,80,65,35,65,60
Stoutland,6,85,110,90,45,90,80
Purrloin,6,41,50,37,50,37,66
Liepard,6,64,88,50,88,50,106
Pansage,6,50,53,48,53,48,64
Simisage,6,75,98,63,98,63,101
Pansear,6,50,53,48,53,48,64
Simisear,6,75,98,63,98,63,101
Panpour,6,50,53,48,53,48,64
Simipour,6,75,98,63,98,63,101
Munna,6,76,25,45,67,55,24
Musharna,6,116,55,85,107,95,29
Pidove,6,50,55,50,36,30,43
Tranquill,6,62,77,62,50,42,65
Unfezant,6,80,115,80,65,55,93
Blitzle,6,45,60,32,50,32,76
Zebstrika,6,75,100,63,80,63,116
Roggenrola,6,55,75,85,25,25,15
Boldore,6,70,105,105,50,40,20
Gigalith,6,85,135,130,60,80,25
Woobat,6,55,45,43,55,43,72
Swoobat,6,67,57,55,77,55,114
Drilbur,6,60,85,40,30,45,68
Excadrill,6,110,135,60,50,65,88
Audino,6,103,60,86,60,86,50
Audino-Mega,6,103,60,126,80,126,50
Timburr,6,75,80,55,25,35,35
Gurdurr,6,85,105,85,40,50,40
Conkeldurr,6,105,140,95,55,65,45
Tympole,6,50,50,40,50,40,64
Palpitoad,6,75,65,55,65,55,69
Seismitoad,6,105,95,75,85,75,74
Throh,6,120,100,85,30,85,45
Sawk,6,75,125,75,30,75,85
Sewaddle,6,45,53,70,40,60,42
Swadloon,6,55,63,90,50,80,42
Leavanny,6,75,103,80,70,80,92
Venipede,6,30,45,59,30,39,57
Whirlipede,6,40,55,99,40,79,47
Scolipede,6,60,100,89,55,69,112
Cottonee,6,40,27,60,37,50,66
Whimsicott,6,60,67,85,77,75,116
Petilil,6,45,35,50,70,50,30
Lilligant,6,70,60,75,110,75,90
Basculin,6,70,92,65,80,55,98
Sandile,6,50,72,35,35,35,65
Krokorok,6,60,82,45,45,45,74
Krookodile,6,95,117,80,65,70,92
Darumaka,6,70,90,45,15,45,50
Darmanitan,6,105,140,55,30,55,95
Maractus,6,75,86,67,106,67,60
Dwebble,6,50,65,85,35,35,55
Crustle,6,70,95,125,65,75,45
Scraggy,6,50,75,70,35,70,48
Scrafty,6,65,90,115,45,115,58
Sigilyph,6,72,58,80,103,80,97
Yamask,6,38,30,85,55,65,30
Cofagrigus,6,58,50,145,95,105,30
Tirtouga,6,54,78,103,53,45,22
Carracosta,6,74,108,133,83,65,32
Archen,6,55,112,45,74,45,70
Archeops,6,75,140,65,112,65,110
Trubbish,6,50,50,62,40,62,65
Garbodor,6,80,95,82,60,82,75
Zorua,6,40,65,40,80,40,65
Zoroark,6,60,105,60,120,60,105
Minccino,6,55,50,40,40,40,75
Cinccino,6,75,95,60,65,60,115
Gothita,6,45,30,50,55,65,45
Gothorita,6,60,45,70,75,85,55
Gothitelle,6,70,55,95,95,110,65
Solosis,6,45,30,40,105,50,20
Duosion,6,65,40,50,125,60,30
Reuniclus,6,110,65,75,125,85,30
Ducklett,6,62,44,50,44,50,55
Swanna,6,75,87,63,87,63,98
Vanillite,6,36,50,50,65,60,44
Vanillish,6,51,65,65,80,75,59
Vanilluxe,6,71,95,85,110,95,79
Deerling,6,60,60,50,40,50,75
Sawsbuck,6,80,100,70,60,70,95
Emolga,6,55,75,60,75,60,103
Karrablast,6,50,75,45,40,45,60
Escavalier,6,70,135,105,60,105,20
Foongus,6,69,55,45,55,55,15
Amoonguss,6,114,85,70,85,80,30
Frillish,6,55,40,50,65,85,40
Jellicent,6,100,60,70,85,105,60
Alomomola,6,165,75,80,40,45,65
Joltik,6,50,47,50,57,50,65
Galvantula,6,70,77,60,97,60,108
Ferroseed,6,44,50,91,24,86,10
Ferrothorn,6,74,94,131,54,116,20
Klink,6,40,55,70,45,60,30
Klang,6,60,80,95,70,85,50
Klinklang,6,60,100,115,70,85,90
Tynamo,6,35,55,40,45,40,60
Eelektrik,6,65,85,70,75,70,40
Eelektross,6,85,115,80,105,80,50
Elgyem,6,55,55,55,85,55,30
Beheeyem,6,75,75,75,125,95,40
Litwick,6,50,30,55,65,55,20
Lampent,6,60,40,60,95,60,55
Chandelure,6,60,55,90,145,90,80
Axew,6,46,87,60,30,40,57
Fraxure,6,66,117,70,40,50,67
Haxorus,6,76,147,90,60,70,97
Cubchoo,6,55,70,40,60,40,40
Beartic,6,95,110,80,70,80,50
